ticket,title,role,h_min,c_min,actual_min,delta_h_min,delta_c_min,started_iso,finished_iso,closed_commit,notes,agent,insertions,deletions,files_changed,net_loc,total_loc,commit_date,cross_repo,issue_created,issue_closed,f_worktree,f_overrun,f_test_loop,f_retro_c,f_crossrepo_note,c_ratio,h_ratio,span_min,lead_min
119,assembler.js (a) lifecycle/output term inventory,WRITER,60,,10,-50,,,2026-05-28T11:58:35-10:00,cad1755,first spike; warm-up cost; read 600L + populated section (a),,65,2,1,63,67,2026-05-28T11:58:35-10:00,false,2026-05-28T21:52:24Z,2026-05-28T21:58:39Z,false,false,false,false,false,,6.0,,
120,assembler.js (b) pass model + file parsing term inventory,WRITER,60,,16,-44,,,2026-05-28T12:14:10-10:00,cfe2348,included filing 3 follow-up puzzles for #119 findings,,47,2,1,45,49,2026-05-28T12:14:10-10:00,false,2026-05-28T21:52:26Z,2026-05-28T22:14:14Z,false,false,false,false,false,,3.75,,
121,assembler.js (c) tokens + dispatch term inventory,WRITER,60,,2,-58,,,2026-05-28T12:16:35-10:00,cac9c84,densest section by directive count but mechanical,,61,2,1,59,63,2026-05-28T12:16:35-10:00,false,2026-05-28T21:52:28Z,2026-05-28T22:16:38Z,false,false,false,false,false,,30.0,,
122,assembler.js (d) per-instruction encoders term inventory,WRITER,60,,3,-57,,,2026-05-28T12:19:40-10:00,7129c56,bonus: also closed #125 (E/e/V disambiguation),,100,3,1,97,103,2026-05-28T12:19:40-10:00,false,2026-05-28T21:52:30Z,2026-05-28T22:19:44Z,false,false,false,false,false,,20.0,,
123,assembler.js (e) operand helpers term inventory,WRITER,60,,2,-58,,,2026-05-28T12:21:17-10:00,43937c5,smallest section; finally documented fp/sp/lr -> r5/r6/r7,,67,2,1,65,69,2026-05-28T12:21:17-10:00,false,2026-05-28T21:52:32Z,2026-05-28T22:21:20Z,false,false,false,false,false,,30.0,,
124,.e/.o glossary entry shape design,ARC,30,4,1.5,-28.5,-2.5,2026-05-28T12:31:56-10:00,2026-05-28T12:33:28-10:00,4eed817,first dual-estimate row; first ARC puzzle; my C ran ~2.5x too high,,73,47,2,26,120,2026-05-28T12:34:11-10:00,false,2026-05-28T22:12:11Z,2026-05-28T22:32:29Z,false,false,false,false,false,2.667,20.0,1.53,19.75
126,.bst format / purpose research,WRITER,30,3,1,-29,-2,2026-05-28T12:38:38-10:00,2026-05-28T12:39:28-10:00,408de9e,.bst = binary listing — same content as .lst but machine words in binary (4-bit nibbles) instead of hex; only the isBST flag toggles,,2,1,2,1,3,2026-05-28T12:40:09-10:00,false,2026-05-28T22:12:15Z,2026-05-28T22:40:12Z,false,false,false,false,false,3.0,30.0,0.83,26.38
109,"interpreter.js term inventory (single spike, 1753L)",WRITER,60,12,4,-56,-8,2026-05-28T12:41:48-10:00,2026-05-28T12:45:41-10:00,d93e208,single-spike test (no decomposition); my C ran ~3x too high — third consecutive over-padding,,193,2,1,191,195,2026-05-28T12:46:25-10:00,false,2026-05-28T06:32:33Z,2026-05-28T22:46:28Z,false,false,false,false,false,3.0,15.0,3.88,969.25
110,"linker.js term inventory (smallest core file, 365L)",WRITER,60,3,1.25,-58.75,-1.75,2026-05-28T12:46:52-10:00,2026-05-28T12:48:07-10:00,eca6ebc,calibrated C estimate (down from naive 4-5m); still over-padded ~2.4x; pattern improving,,80,2,1,78,82,2026-05-28T12:48:43-10:00,false,2026-05-28T06:32:38Z,2026-05-28T22:48:48Z,false,false,false,false,false,2.4,48.0,1.25,974.23
113,linker.js glossary definitions (write phase),WRITER,60,10,2.78,-57.22,-7.22,2026-05-28T13:02:47-10:00,2026-05-28T13:05:34-10:00,fa66f14,first WRITER write-phase puzzle; even calibrated-down C ran 3.6x over; over-pad pattern persistent across role transitions,,185,3,1,182,188,2026-05-28T13:06:08-10:00,false,2026-05-28T06:33:00Z,2026-05-28T23:06:12Z,false,false,false,false,false,3.597,21.583,2.78,989.78
106,empty/whitespace .a → header-only .bst/.lst (parity),DEV,30,12,4.95,-25.05,-7.05,2026-05-28T13:03:47-10:00,2026-05-28T13:08:44-10:00,200bca3,BY DESIGN: LCC.js exit 0 + no artifacts vs OG exit 1 + header-only listings; corrected issue premise (OG does print 'Empty file'/exit 1). C over-padded ~2.4x — over-pad pattern persists into DEV role,,40,4,1,36,44,2026-05-28T13:09:24-10:00,false,2026-05-28T06:17:47Z,2026-05-28T23:10:13Z,false,false,false,false,false,2.424,6.061,4.95,1006.0
112,interpreter.js glossary definitions (write phase),WRITER,60,6,2.67,-57.33,-3.33,2026-05-28T13:09:32-10:00,2026-05-28T13:12:12-10:00,3ddea5a,second write-phase puzzle; C ran 2.25x over (tighter than #113's 3.6x); concurrent with another agent's #106 close — no conflicts,,295,1,1,294,296,2026-05-28T13:13:15-10:00,false,2026-05-28T06:32:55Z,2026-05-28T23:13:18Z,false,false,false,false,false,2.247,22.472,2.67,996.62
105,undefined-label br → orphan blank .e (parity),DEV,45,7,2.98,-42.02,-4.02,2026-05-28T13:17:47-10:00,2026-05-28T13:20:46-10:00,e0a6325,"OG BUG: both error + exit 1, but OG leaves a runnable blank .e (infinite-loops) vs LCC.js no artifact; corrected premise (OG does error). C calibrated down to 7m, still ~2.3x over. Worked in a git worktree (parallel terminal)",,49,3,1,46,52,2026-05-28T13:21:06-10:00,false,2026-05-28T06:17:42Z,2026-05-28T23:21:36Z,true,false,false,false,false,2.349,15.101,2.98,1020.08
128,assembler.js section (a) definitions,WRITER,60,5,2.58,-57.42,-2.42,2026-05-28T13:24:50-10:00,2026-05-28T13:27:25-10:00,783e53f,first write-phase puzzle in #111 sub-decomp; landed in worktree on branch worktree-issue-111; C-ratio 1.94x — tightest WRITER calibration yet,,399,2,1,397,401,2026-05-28T13:28:04-10:00,false,2026-05-28T23:23:28Z,2026-05-28T23:28:32Z,true,false,false,false,false,1.938,23.256,2.58,1.37
115,lccjs-assembly skill design (scoping spike),COMBO,60,12,2.35,-57.65,-9.65,2026-05-28T13:26:37-10:00,2026-05-28T13:28:58-10:00,570f42d,"architect/design spike; produced design doc + build decomposition (116a-d). C over-pad 5.1x — worst yet; supports 'weightier tasks attract heavier padding' (ARC > DEV/parity). Worktree, parallel terminal [role reclassified ARC->COMBO 2026-05-29 #192: original tag was ARC; see role-table COMBO/SPIKE defs.]",,140,4,2,136,144,2026-05-28T13:29:26-10:00,false,2026-05-28T21:36:05Z,2026-05-28T23:30:58Z,true,false,false,false,false,5.106,25.532,2.35,110.53
133,exclude .claude/** from PDD pre-push scan,DEV,30,3,2.45,-27.55,-0.55,2026-05-28T13:50:57-10:00,2026-05-28T13:53:24-10:00,f990fe4,two-line fix; verified hook passes; first puzzle closed under v0.2.0 protocol (pull --rebase before SHA capture),,1,1,1,0,2,2026-05-28T13:52:35-10:00,false,2026-05-28T23:51:45Z,2026-05-28T23:52:39Z,false,false,false,false,false,1.224,12.245,2.45,-0.8
104,ratify Charlie's textbook-demo conventions,ARC,30,6,1.53,-28.47,-4.47,2026-05-28T14:00:10-10:00,2026-05-28T14:01:42-10:00,19f1206,decision ticket; clock measures execution AFTER Charlie's decisions (excludes user deliberation). Q2 changed default → filed #135 refactor puzzle. C over-pad 3.9x. Worktree,,19,8,1,11,27,2026-05-28T14:01:59-10:00,false,2026-05-28T06:08:56Z,2026-05-29T00:02:28Z,true,false,false,false,false,3.922,19.608,1.53,1071.23
129,assembler.js section (b) definitions,WRITER,60,4,1.82,-58.18,-2.18,2026-05-28T14:00:52-10:00,2026-05-28T14:02:41-10:00,13ec1f9,second sub-write under #111; ratio 2.20x; v0.2.0 protocol used (pull --rebase before SHA); hook now passes cleanly post-#133,,195,1,1,194,196,2026-05-28T14:03:16-10:00,false,2026-05-28T23:23:30Z,2026-05-29T00:03:23Z,false,false,false,false,false,2.198,32.967,1.82,37.37
130,assembler.js section (c) definitions,WRITER,60,3,1.42,-58.58,-1.58,2026-05-28T14:05:20-10:00,2026-05-28T14:06:45-10:00,482849c,third sub-write under #111; ratio 2.11x; settling near 2x for WRITER write-phase shape,,197,1,1,196,198,2026-05-28T14:07:16-10:00,false,2026-05-28T23:23:32Z,2026-05-29T00:07:22Z,false,false,false,false,false,2.113,42.254,1.42,41.8
131,assembler.js section (d) definitions,WRITER,60,3,1.83,-58.17,-1.17,2026-05-28T14:09:54-10:00,2026-05-28T14:11:44-10:00,bddf648,fourth sub-write under #111; densest section by inventory line count but mostly mechanical; ratio 1.64x — new tightest,,247,1,1,246,248,2026-05-28T14:12:16-10:00,false,2026-05-28T23:23:34Z,2026-05-29T00:12:22Z,false,false,false,false,false,1.639,32.787,1.83,46.33
132,assembler.js section (e) definitions,WRITER,60,2.5,1.38,-58.62,-1.12,2026-05-28T14:13:22-10:00,2026-05-28T14:14:45-10:00,31b1222,final sub-write under #111; smallest section; ratio 1.81x; completes the assembler glossary across all 5 sections,,173,1,1,172,174,2026-05-28T14:15:20-10:00,false,2026-05-28T23:23:35Z,2026-05-29T00:15:26Z,false,false,false,false,false,1.812,43.478,1.38,49.78
135,refactor 6 ch03 demos: hoist data + .start (Q2 per #104),DEV,30,10,12.85,-17.15,2.85,2026-05-28T14:05:29-10:00,2026-05-28T14:18:20-10:00,51fd973,"FIRST OVERRUN — DEV edit/test-loop task: actual 12.85m > C 10m (1.28x). Script bug (pop() vs pop(0) silently dropped data sections) + per-demo assemble/run/diff verify ate time. Answers the open Q: the test loop DOES pull DEV actuals up, past even a calibrated-low C. 6/8 done, 009+044 split to #136. demo-006 address output layout-shifted (expected). Worktree",,53,40,7,13,93,2026-05-28T14:18:44-10:00,false,2026-05-29T00:01:29Z,2026-05-29T00:19:10Z,true,true,true,false,false,0.778,2.335,12.85,4.0
137,Claude skill (1/4a) SKILL.md router + 4 inline pitfalls,DEV,60,8,4.52,-55.48,-3.48,2026-05-28T14:20:10-10:00,2026-05-28T14:24:41-10:00,87f6405,"cross-repo close: SHA 87f6405 is in avidrucker/claude-config (skill lives there); lccjs side gets only CSV. SKILL.md 142 lines with 4 substantive pitfalls (symptom/why/correct-pattern). Ratio 1.77x — back in WRITER band; this was prose-heavy DEV, no test loop, which fits the #135 hypothesis (loop pulls actuals up, no loop stays in 2x band).",,,,,,,,true,2026-05-29T00:19:19Z,2026-05-29T00:24:57Z,false,false,true,false,true,1.77,13.274,4.52,0.85
